lsoa11cd,lsoa11nm,proportion_male,16_29_rate,30_44_rate,45_64_rate,violence_rate_2015,violence_rate_2016,violence_rate_2017,violence_rate_2018,violence_rate_2019
E01001944,Hammersmith and Fulham 004B,0.4720357941834452,0.203579418344519,0.24664429530201343,0.2539149888143177,30.201342281879196,30.464991982896848,26.61596958174905,32.5068870523416,32.832498608792434
E01001945,Hammersmith and Fulham 004C,0.46581691772885286,0.24159907300115874,0.28794901506373116,0.2137891077636153,23.754345307068366,31.708749266001174,31.572904707233064,32.608695652173914,28.62049227246709
E01001946,Hammersmith and Fulham 004D,0.4979004199160168,0.2741451709658068,0.2975404919016197,0.1931613677264547,17.39652069586083,17.490952955367913,14.619883040935672,16.753321779318313,12.134583563154992
E01001947,Hammersmith and Fulham 021A,0.44466534128561963,0.2504970178926441,0.23658051689860835,0.2147117296222664,17.892644135188867,21.167415009621553,29.81029810298103,40.106951871657756,31.80914512922465
E01001948,Hammersmith and Fulham 021B,0.462671406805485,0.22854240731335704,0.3367191467750127,0.17623158963941088,7.618080243778568,8.551307847082496,12.042147516307075,11.904761904761903,13.588324106693507
E01001949,Hammersmith and Fulham 021C,0.4706279540850776,0.26333558406482105,0.3011478730587441,0.1937879810938555,1.350438892640108,7.402422611036339,3.3670033670033668,9.986684420772303,6.779661016949152
E01001950,Hammersmith and Fulham 021D,0.46617548559946415,0.2572002679169457,0.289350301406564,0.18017414601473544,11.386470194239784,16.07501674480911,18.892508143322473,11.695906432748536,16.479894528675015
E01001951,Hammersmith and Fulham 021E,0.47992700729927007,0.30170316301703165,0.2755474452554745,0.1922141119221411,15.206812652068127,17.045454545454543,21.059349074664965,18.92744479495268,21.808851828094934
E01001952,Hammersmith and Fulham 024D,0.48413631022326675,0.35135135135135137,0.3296122209165687,0.14688601645123384,12.925969447708578,14.961101137043686,12.750455373406194,15.294117647058824,16.8506682161534
E01001953,Hammersmith and Fulham 021F,0.47172512526843235,0.3593414459556192,0.26628489620615603,0.1624910522548318,59.41302791696493,52.85118219749652,52.85714285714286,53.99719495091164,67.8082191780822
E01001954,Hammersmith and Fulham 003A,0.45897435897435895,0.2012820512820513,0.2814102564102564,0.22628205128205128,22.435897435897434,24.585125998770742,26.217228464419478,26.14795918367347,18.673535093367676
E01001955,Hammersmith and Fulham 002A,0.4641309581126625,0.25276841598459315,0.23591718825228694,0.20462205103514686,22.62879152623977,26.740433379437526,30.776297657326598,29.588534442903374,27.97534376481745
E01001956,Hammersmith and Fulham 003B,0.47358370464672184,0.2005092297899427,0.21769573520050922,0.24506683640993,15.913430935709737,10.33434650455927,13.513513513513514,19.572953736654803,14.153846153846153
E01001957,Hammersmith and Fulham 002B,0.485524728588661,0.22798552472858866,0.2020506634499397,0.23582629674306393,20.506634499396863,29.236276849642003,29.038112522686024,34.99406880189798,20.82093991671624
E01001958,Hammersmith and Fulham 002C,0.4612736660929432,0.24325874928284566,0.22948938611589215,0.2306368330464716,21.801491681009754,19.41747572815534,22.870211549456833,19.10112359550562,22.675736961451246
E01001959,Hammersmith and Fulham 003C,0.46278679350867374,0.2652490207050923,0.21264689423614996,0.22607722439843314,20.705092333519865,9.508716323296355,16.60612350804359,23.846552617936755,20.975609756097562
E01001960,Hammersmith and Fulham 003D,0.47879684418145957,0.3086785009861933,0.3170611439842209,0.15483234714003946,19.723865877712033,17.61449421238047,27.48091603053435,18.772196854388636,22.093634928984745
E01001961,Hammersmith and Fulham 002D,0.4473846153846154,0.23692307692307693,0.21107692307692308,0.19692307692307692,24.0,24.939172749391727,40.07285974499089,38.898862956313586,37.300177619893425
E01001962,Haringey 004A,0.48090371167294244,0.15868746637977407,0.22592791823561054,0.24690693921463153,9.682625067240451,17.722878625134264,13.201320132013201,16.70378619153675,15.846994535519125
E01001963,Haringey 009A,0.4923239809422975,0.1254632080465855,0.22710428798305982,0.2821598729486501,6.881948120698782,7.828810020876826,8.895866038723181,8.57449088960343,6.9075451647183845
E01001964,Haringey 009B,0.4853700516351119,0.19965576592082615,0.32415375788869766,0.2134251290877797,11.474469305794608,10.483401281304602,8.655510675129833,20.710059171597635,19.230769230769234
E01001965,Haringey 009C,0.47977207977207975,0.1037037037037037,0.3002849002849003,0.2660968660968661,8.547008547008549,7.466973004020678,6.944444444444444,8.586147681740126,9.116809116809117
E01001966,Haringey 009D,0.49195710455764075,0.1554959785522788,0.1876675603217158,0.28820375335120646,22.117962466487935,24.358130348913758,38.66666666666667,27.66531713900135,26.970954356846473
E01001967,Haringey 014A,0.46955430006277465,0.15693659761456372,0.19836785938480853,0.290646578782172,3.766478342749529,4.9597024178549285,6.948831332912191,3.8095238095238093,6.373486297004461
E01001968,Haringey 014B,0.47692307692307695,0.15042735042735042,0.2655270655270655,0.2678062678062678,6.837606837606837,8.571428571428571,13.105413105413104,7.282913165266106,12.549914432401598
E01001969,Haringey 001A,0.5150300601202404,0.17735470941883769,0.33917835671342683,0.20390781563126253,22.044088176352705,24.161735700197237,15.14411333659013,19.326065411298316,19.835510401548138
E01001970,Haringey 004B,0.49588665447897623,0.27513711151736747,0.2742230347349177,0.20109689213893966,21.02376599634369,33.712984054669704,32.643678160919535,35.12993262752647,32.352941176470594
E01001971,Haringey 001B,0.5067398901647528,0.23015476784822766,0.2416375436844733,0.24113829256115826,48.427358961557665,49.10485933503836,63.43476018566271,58.705469141996986,48.74294510005131
E01001972,Haringey 004C,0.480726872246696,0.19162995594713655,0.2813876651982379,0.22962555066079296,15.418502202643172,14.697569248162804,14.647887323943662,18.760659465605457,25.157232704402517
E01001973,Haringey 004D,0.4661322645290581,0.19919839679358717,0.27735470941883766,0.20801603206412825,12.82565130260521,11.583011583011583,19.20860545524395,21.671826625387,19.140625
E01001974,Haringey 001C,0.5012864493996569,0.18996569468267582,0.34948542024013723,0.20711835334476844,15.437392795883362,20.734341252699785,15.927679724494187,20.451640391989773,21.150592216582066
E01001975,Haringey 001D,0.48684889118102115,0.22537390407426508,0.3553378029912326,0.1918514698298092,24.239298607529655,25.89331952356292,23.565573770491802,28.13425468904245,23.594377510040157
E01001976,Haringey 011A,0.5032644178454843,0.19314472252448314,0.2693144722524483,0.2295973884657236,18.498367791077257,23.1058570660935,26.71555788370875,32.85638579756227,30.729166666666664
E01001977,Haringey 011B,0.46262254901960786,0.18321078431372548,0.27144607843137253,0.2267156862745098,27.573529411764707,33.516148689823275,31.505986137366097,36.98979591836735,17.034700315457414
