lsoa,employ_score,edu_score,health_score,income_score,enviroment_score
E01005240,0.23,38.966,1.559,0.404,35.606
E01005241,0.132,21.294,0.888,0.201,44.745
E01005242,0.213,32.891,1.881,0.389,35.467
E01005243,0.269,27.955,1.877,0.44,24.728
E01005244,0.111,28.801,1.21,0.204,41.319
E01005245,0.278,39.166,1.826,0.487,34.994
E01005246,0.309,46.663,1.469,0.523,35.006
E01005247,0.129,24.174,0.912,0.125,32.509
E01005248,0.129,16.473,0.63,0.134,22.754
E01005249,0.18,27.474,1.331,0.22,26.691
E01005250,0.218,40.554,1.439,0.315,19.868
E01005251,0.24,37.597,1.233,0.287,28.969
E01005252,0.252,48.019,1.725,0.311,25.025
E01005253,0.295,65.795,1.518,0.343,21.793
E01005254,0.108,21.219,0.547,0.106,24.699
E01005255,0.388,67.254,1.925,0.439,16.629
E01005256,0.304,61.437,2.006,0.388,22.566
E01005257,0.371,81.272,2.074,0.447,20.332
E01005258,0.247,43.099,1.753,0.273,40.897
E01005259,0.328,83.281,1.888,0.427,29.088
E01005260,0.164,28.12,1.539,0.147,38.714
E01005261,0.359,88.522,2.191,0.447,26.26
E01005262,0.171,17.701,1.506,0.235,15.006
E01005263,0.227,24.284,1.885,0.226,24.635
E01005264,0.245,45.114,2.075,0.333,20.742
E01005265,0.249,35.282,1.553,0.315,23.643
E01005266,0.231,38.37,1.719,0.305,23.855
E01005267,0.137,11.762,1.007,0.144,39.27
E01005268,0.099,6.812,0.822,0.105,33.869
E01005269,0.111,8.68,0.867,0.101,25.36
E01005270,0.221,48.598,1.497,0.315,21.402
E01005271,0.066,38.805,1.69,0.11,40.474
E01005272,0.275,36.125,1.942,0.373,18.97
E01005273,0.078,8.247,1.19,0.113,28.719
E01005274,0.151,26.759,1.367,0.215,33.192
E01005275,0.042,0.276,0.442,0.065,39.191
E01005276,0.076,12.287,1.292,0.096,37.464
E01005277,0.047,0.638,0.204,0.044,28.294
E01005278,0.085,30.581,0.593,0.155,32.655
E01005279,0.19,27.125,0.926,0.308,32.245
E01005280,0.208,41.958,1.465,0.3,25.238
E01005281,0.051,15.139,1.228,0.06,43.316
E01005282,0.134,19.236,0.988,0.205,38.517
E01005283,0.035,26.07,1.328,0.053,28.888
E01005284,0.033,10.437,0.714,0.053,71.889
E01005285,0.228,31.894,2.247,0.391,28.303
E01005286,0.068,5.653,0.727,0.082,39.252
E01005287,0.278,40.647,2.226,0.369,27.061
E01005288,0.155,16.926,1.831,0.245,52.5
E01005289,0.336,67.994,2.596,0.415,20.88
E01005290,0.281,62.8,2.151,0.338,23.6
E01005291,0.309,51.355,2.51,0.376,20.739
E01005292,0.288,58.319,1.972,0.329,21.877
E01005293,0.104,25.383,0.9,0.103,22.916
E01005294,0.136,20.273,1.236,0.138,14.728
E01005295,0.095,18.079,1.184,0.152,20.09
E01005296,0.12,3.045,0.922,0.154,30.276
E01005297,0.194,12.214,0.825,0.234,34.723
E01005298,0.129,8.276,0.997,0.196,36.554
E01005299,0.126,9.918,0.743,0.17,25.58
E01005300,0.103,11.467,0.731,0.148,27.994
E01005301,0.095,2.057,0.406,0.107,48.366
E01005302,0.167,13.058,1.409,0.179,54.854
E01005304,0.069,4.075,1.113,0.081,38.345
E01005305,0.058,8.719,0.212,0.11,31.144
E01005306,0.049,0.272,0.349,0.062,24.321
E01005307,0.049,5.664,0.417,0.077,21.07
E01005308,0.169,22.552,1.121,0.245,20.48
E01005309,0.053,3.251,1.39,0.066,51.489
E01005310,0.086,46.884,1.482,0.147,25.49
E01005311,0.078,17.895,0.934,0.118,39.885
E01005312,0.065,25.295,1.717,0.112,30.112
E01005313,0.254,51.568,1.814,0.341,24.83
E01005314,0.233,50.169,1.993,0.303,26.088
E01005315,0.29,53.327,2.346,0.323,16.774
E01005316,0.177,36.282,1.511,0.222,11.016
E01005317,0.26,47.033,2.006,0.285,16.03
E01005318,0.214,54.395,2.186,0.248,19.64
E01005319,0.208,55.559,1.685,0.299,24.177
E01005320,0.239,60.417,1.158,0.301,32.184
E01005321,0.279,69.574,1.246,0.306,30.89
E01005322,0.355,61.758,2.105,0.424,26.361
E01005323,0.225,35.501,1.101,0.291,23.348
E01005324,0.273,48.689,1.934,0.353,9.031
E01005325,0.348,61.43,2.42,0.485,9.895
E01005326,0.171,60.758,1.031,0.267,27.861
E01005327,0.134,17.585,1.009,0.161,19.916
E01005328,0.317,46.659,1.461,0.297,17.529
E01005329,0.086,8.706,0.041,0.057,7.924
E01005330,0.082,7.766,-0.32,0.059,18.467
E01005331,0.133,26.89,0.307,0.142,19.084
E01005332,0.17,33.013,0.965,0.19,24.481
E01005333,0.069,6.38,-0.069,0.049,8.311
E01005334,0.052,7.962,-0.4,0.04,14.551
E01005335,0.061,7.908,-0.028,0.051,13.106
E01005336,0.069,6.855,0.081,0.049,10.262
E01005337,0.184,50.244,0.698,0.267,29.861
E01005338,0.219,46.122,1.361,0.305,20.093
E01005339,0.062,4.074,-0.296,0.036,11.726
E01005340,0.243,43.826,1.379,0.269,13.25
E01005341,0.112,22.628,0.453,0.143,38.469
E01005342,0.305,54.509,1.517,0.32,21.235
E01005343,0.185,39.702,0.987,0.225,25.256
E01005344,0.213,39.458,0.998,0.284,35.843
E01005345,0.104,18.631,0.249,0.094,24.344
E01005346,0.116,19.982,0.75,0.114,23.953
E01005347,0.123,22.198,0.152,0.116,17.905
E01005348,0.271,43.473,1.509,0.409,13.219
E01005349,0.206,65.119,0.551,0.364,30.667
E01005350,0.495,69.115,2.975,0.543,15.684
E01005351,0.22,61.973,0.488,0.345,28.924
E01005352,0.292,72.273,1.434,0.381,23.038
E01005353,0.345,69.142,1.452,0.44,17.604
E01005354,0.156,46.457,0.586,0.317,11.358
E01005355,0.147,23.614,0.678,0.138,26.823
E01005356,0.088,6.283,0.358,0.073,11.167
E01005357,0.083,5.147,-0.261,0.067,7.612
E01005358,0.151,21.957,1.289,0.19,14.359
E01005359,0.086,10.993,0.054,0.064,12.332
E01005360,0.171,22.535,0.589,0.173,7.709
E01005361,0.088,8.3,0.081,0.071,10.852
E01005362,0.11,18.644,0.079,0.092,38.758
E01005363,0.152,26.642,1.064,0.211,29.825
E01005364,0.082,14.917,0.268,0.09,25.277
E01005365,0.065,15.323,-0.067,0.064,20.813
E01005366,0.197,32.52,1.264,0.201,16.703
E01005367,0.071,9.008,-0.002,0.065,8.842
E01005368,0.193,28.014,1.097,0.248,38.165
E01005369,0.179,43.385,1.381,0.245,31.709
E01005370,0.266,42.519,1.566,0.306,27.549
E01005371,0.19,27.9,1.063,0.219,40.39
E01005372,0.169,34.989,0.633,0.204,21.662
E01005373,0.095,13.089,0.323,0.072,9.988
E01005374,0.148,31.605,0.802,0.163,20.054
E01005375,0.107,11.507,0.462,0.083,14.166
E01005376,0.226,42.953,1.261,0.318,29.712
E01005377,0.314,77.233,1.519,0.386,10.418
E01005378,0.17,38.994,0.802,0.197,32.252
E01005379,0.266,70.872,1.573,0.368,12.43
E01005380,0.29,48.289,1.413,0.396,13.147
E01005381,0.289,67.683,1.386,0.358,21.789
E01005382,0.251,58.464,1.472,0.34,29.625
E01005383,0.248,51.41,0.982,0.306,12.68
E01005386,0.334,69.392,1.647,0.393,18.178
E01005387,0.091,14.529,0.335,0.103,12.129
E01005388,0.12,15.465,0.605,0.143,13.118
E01005389,0.233,30.218,1.262,0.287,21.477
E01005390,0.091,11.7,0.049,0.057,11.436
E01005391,0.113,17.184,-0.057,0.114,11.234
E01005392,0.219,38.05,1.517,0.241,19.01
E01005393,0.084,12.861,0.436,0.066,9.009
E01005394,0.075,9.808,-0.043,0.073,12.601
E01005395,0.102,12.671,0.142,0.096,19.683
E01005396,0.133,18.605,-0.03,0.128,7.315
E01005397,0.114,14.348,0.479,0.106,19.507
E01005398,0.094,13.372,0.461,0.12,31.44
E01005399,0.103,13.472,0.141,0.087,20.003
E01005400,0.256,29.516,1.259,0.246,16.137
E01005401,0.059,7.617,0.25,0.052,9.555
E01005402,0.114,18.782,0.587,0.112,16.243
E01005403,0.097,11.404,0.571,0.094,13.447
E01005406,0.065,2.558,-0.329,0.034,16.494
E01005407,0.042,2.475,-0.659,0.025,16.216
E01005408,0.065,1.873,-0.391,0.057,11.731
E01005409,0.047,2.152,-0.308,0.032,32.817
E01005410,0.047,5.588,-0.266,0.031,11.713
E01005411,0.085,2.258,0.26,0.079,11.819
E01005412,0.063,2.784,-0.332,0.047,15.06
E01005413,0.041,4.406,-0.49,0.029,8.595
E01005414,0.066,3.336,-0.412,0.037,32.301
E01005415,0.104,4.455,0.033,0.102,10.844
E01005416,0.053,2.527,-0.026,0.054,34.252
E01005417,0.08,4.931,0.127,0.053,9.889
E01005418,0.079,6.806,-0.126,0.048,10.557
E01005419,0.062,7.735,-0.119,0.065,12.513
E01005420,0.12,12.828,0.355,0.144,9.534
E01005421,0.168,39.338,0.978,0.229,31.808
E01005422,0.242,69.281,1.098,0.378,9.757
E01005427,0.285,68.394,1.376,0.436,26.62
E01005428,0.229,66.52,1.133,0.34,46.083
E01005429,0.245,67.236,1.348,0.359,23.046
E01005430,0.193,58.205,0.731,0.289,38.008
E01005431,0.167,32.242,0.844,0.206,25.481
E01005432,0.375,77.269,1.945,0.453,11.438
E01005433,0.386,78.264,1.914,0.506,25.56
E01005434,0.316,57.059,1.52,0.335,46.36
E01005435,0.161,47.311,0.526,0.241,40.075
E01005436,0.132,28.523,0.278,0.158,31.764
E01005437,0.159,35.184,0.482,0.204,46.34
E01005438,0.181,34.771,0.919,0.225,44.355
E01005439,0.123,21.056,0.309,0.135,25.328
E01005440,0.164,32.545,0.886,0.168,16.642
E01005441,0.226,25.041,1.026,0.219,7.75
E01005442,0.075,9.476,-0.197,0.055,14.887
E01005443,0.059,4.268,-0.137,0.042,8.918
E01005444,0.114,30.152,0.407,0.135,19.785
E01005445,0.144,31.067,0.999,0.192,31.018
E01005446,0.142,21.04,0.678,0.154,11.998
E01005447,0.224,35.174,1.572,0.251,27.742
E01005448,0.373,57.772,1.864,0.421,25.484
E01005449,0.226,60.765,1.108,0.278,11.124
E01005450,0.19,54.222,0.873,0.298,45.245
E01005451,0.12,21.272,0.419,0.129,17.959
E01005452,0.078,14.649,0.136,0.074,9.357
E01005453,0.083,9.511,0.049,0.068,7.801
E01005454,0.091,17.07,0.153,0.104,13.558
E01005455,0.091,20.657,0.202,0.095,20.745
E01005456,0.304,49.193,1.267,0.328,27.016
E01005459,0.298,72.082,1.328,0.455,26.576
E01005460,0.189,59.984,0.797,0.279,32.188
E01005461,0.205,49.483,1.28,0.332,36.328
E01005462,0.17,24.693,0.736,0.19,18.077
E01005463,0.245,62.964,1.491,0.359,33.589
E01005464,0.28,69.392,1.312,0.345,13.444
E01005465,0.124,14.193,0.678,0.159,29.977
E01005466,0.353,70.313,2.078,0.432,11.652
E01005467,0.299,54.996,1.623,0.387,16.667
E01005468,0.079,5.454,-0.037,0.062,9.81
E01005469,0.119,20.731,0.5,0.118,33.912
E01005470,0.171,35.579,0.749,0.286,56.387
E01005471,0.187,41.674,0.913,0.264,34.962
E01005472,0.225,52.837,1.35,0.311,23.476
E01005473,0.224,37.393,1.382,0.306,25.869
E01005474,0.149,20.716,1.082,0.146,9.178
E01005475,0.244,45.227,1.295,0.309,19.568
E01005476,0.155,17.837,0.833,0.129,22.012
E01005477,0.22,38.944,1.136,0.282,46.844
E01005478,0.14,28.91,0.67,0.179,19.899
E01005479,0.168,36.427,0.737,0.192,18.513
E01005480,0.184,25.303,0.884,0.182,19.274
E01005481,0.147,25.275,0.91,0.171,15.823
E01005482,0.49,66.695,2.382,0.508,29.807
E01005483,0.384,56.586,2.185,0.397,18.025
E01005484,0.325,59.58,1.575,0.443,21.724
E01005485,0.277,39.617,1.834,0.344,37.756
E01005486,0.258,37.038,1.434,0.297,50.552
E01005487,0.204,34.497,1.116,0.246,32.746
E01005488,0.043,3.232,-0.229,0.04,4.984
E01005489,0.113,12.489,0.346,0.117,7.931
E01005490,0.251,64.565,1.435,0.319,8.14
E01005491,0.156,16.365,0.461,0.182,21.014
E01005492,0.08,8.069,0.193,0.069,5.106
E01005493,0.071,5.233,0.023,0.063,3.261
E01005494,0.119,14.399,0.435,0.13,24.238
E01005495,0.162,19.94,0.815,0.164,13.309
E01005496,0.257,54.514,1.549,0.343,5.988
E01005497,0.261,61.095,1.438,0.37,12.269
E01005498,0.152,26.972,0.697,0.188,34.359
E01005499,0.104,22.034,0.503,0.118,32.739
E01005500,0.119,18.495,0.856,0.155,17.956
E01005501,0.254,49.15,2.141,0.317,38.398
E01005502,0.201,38.363,1.236,0.217,27.696
E01005503,0.063,10.598,0.067,0.045,4.558
E01005504,0.174,34.568,0.925,0.209,29.012
E01005505,0.166,40.499,0.997,0.192,27.397
E01005506,0.179,29.594,1.405,0.178,14.073
E01005507,0.121,29.94,0.544,0.165,27.264
E01005508,0.068,7.198,-0.121,0.047,9.88
E01005509,0.311,64.889,1.835,0.334,25.402
E01005510,0.09,19.211,0.319,0.086,8.234
E01005511,0.142,20.188,0.902,0.13,15.845
E01005512,0.184,32.645,1.05,0.195,17.278
E01005513,0.334,70.188,1.465,0.383,12.561
E01005514,0.205,48.026,1.096,0.241,20.289
E01005515,0.329,74.278,1.614,0.443,8.284
E01005516,0.091,7.514,0.205,0.096,12.248
E01005517,0.098,7.209,0.187,0.084,7.829
E01005518,0.161,24.446,0.613,0.212,17.681
E01005519,0.106,15.169,0.162,0.11,7.541
E01005520,0.137,12.138,0.534,0.139,14.567
E01005521,0.092,6.64,0.613,0.089,34.227
E01005522,0.153,23.834,0.959,0.162,41.828
E01005523,0.1,13.91,0.606,0.098,19.702
E01005524,0.148,19.876,0.682,0.164,15.299
E01005525,0.308,45.5,1.418,0.357,14.636
E01005526,0.227,29.294,1.053,0.244,11.93
E01005527,0.349,41.738,1.838,0.394,10.716
E01005528,0.191,42.043,0.919,0.221,18.715
E01005529,0.287,54.838,1.516,0.333,9.18
E01005530,0.079,8.556,0.276,0.063,10.55
E01005531,0.097,28.972,0.704,0.115,19.97
E01005532,0.273,51.05,1.617,0.336,9.393
E01005533,0.141,19.417,0.831,0.141,29.012
E01005534,0.158,23.122,0.636,0.201,15.919
E01005535,0.176,25.828,1.193,0.2,27.09
E01005536,0.159,34.844,0.981,0.206,23.753
E01005537,0.091,14.326,0.282,0.073,13.917
E01005538,0.197,40.315,0.968,0.254,16.147
E01005539,0.244,47.743,1.458,0.257,24.637
E01005540,0.124,20.271,1.016,0.115,30.022
E01005541,0.169,25.275,0.82,0.158,29.794
E01005542,0.217,27.717,1.471,0.256,17.158
E01005543,0.102,18.002,0.584,0.131,18.562
E01005544,0.064,6.427,-0.117,0.047,13.182
E01005545,0.06,6.105,-0.152,0.049,5.614
E01005546,0.173,20.107,0.968,0.175,11.826
E01005547,0.158,34.143,1.167,0.182,27.478
E01005548,0.241,30.557,1.288,0.236,21.779
E01005549,0.072,4.93,0.092,0.037,15.905
E01005550,0.096,11.16,0.376,0.064,11.928
E01005551,0.312,56.011,1.681,0.379,9.157
E01005552,0.346,65.184,2.111,0.438,11.985
E01005553,0.243,48.272,1.338,0.319,8.248
E01005554,0.127,20.059,0.57,0.155,11.453
E01005555,0.071,6.98,0.134,0.068,6.53
E01005556,0.11,10.047,0.313,0.097,21.05
E01005557,0.077,7.504,0.525,0.072,9.804
E01005558,0.143,22.592,0.843,0.184,17.061
E01005559,0.244,40.45,1.338,0.264,7.672
E01005560,0.116,7.575,0.342,0.091,18.655
E01005561,0.094,10.695,0.06,0.108,20.028
E01005562,0.136,13.397,0.988,0.169,25.078
E01005563,0.195,32.467,1.056,0.296,38.129
E01005564,0.249,46.751,1.422,0.378,57.236
E01005565,0.247,48.838,1.323,0.316,8.735
E01005566,0.177,34.474,0.849,0.234,27.825
E01005567,0.187,27.845,0.924,0.169,18.742
E01005568,0.388,70.57,2.379,0.517,23.035
E01005569,0.276,42.698,1.161,0.294,9.622
E01005570,0.071,4.976,0.582,0.061,16.309
E01005571,0.075,4.135,-0.157,0.066,9.182
E01005572,0.078,5.214,0.182,0.052,7.974
E01005573,0.062,3.239,0.077,0.043,3.757
E01005574,0.07,3.349,-0.051,0.051,6.002
E01005575,0.085,4.891,0.076,0.085,5.425
E01005576,0.053,2.27,0.018,0.043,3.882
E01005577,0.059,2.684,-0.283,0.055,13.926
E01005578,0.27,58.592,2.011,0.376,14.882
E01005579,0.298,80.283,1.623,0.41,9.65
E01005580,0.173,39.621,1.07,0.258,32.742
E01005581,0.281,64.232,2.067,0.319,28.391
E01005583,0.273,54.546,1.378,0.384,31.814
E01005585,0.238,45.714,0.985,0.319,33.653
E01005586,0.354,73.478,1.941,0.419,6.908
E01005587,0.064,2.593,0.012,0.063,2.893
E01005588,0.189,32.882,1.049,0.202,10.507
E01005589,0.144,26.846,0.752,0.176,31.559
E01005590,0.214,46.787,1.156,0.293,22.027
E01005591,0.098,10.287,0.937,0.116,17.421
E01005592,0.247,44.469,1.584,0.31,14.577
E01005593,0.224,35.548,1.124,0.288,5.441
E01005594,0.12,17.102,0.717,0.147,16.187
E01005595,0.333,37.732,2.157,0.322,14.624
E01005596,0.097,10.938,0.211,0.095,15.591
E01005597,0.09,8.094,0.475,0.086,13.051
E01005598,0.075,7.012,-0.064,0.059,7.439
E01005599,0.294,32.466,1.911,0.308,33.611
E01005600,0.175,24.447,1.34,0.22,42.716
E01005601,0.255,35.368,2.206,0.321,26.129
E01005602,0.323,27.781,2.037,0.326,16.615
E01005603,0.151,25.632,1.13,0.205,43.362
E01005604,0.187,27.016,1.169,0.197,16.332
E01005605,0.159,32.389,1.141,0.216,48.572
E01005609,0.205,41.972,2.169,0.308,9.526
E01005610,0.293,76.103,1.923,0.457,12.082
E01005611,0.232,40.742,1.654,0.347,19.686
E01005612,0.37,56.149,2.143,0.394,13.038
E01005613,0.339,64.174,2.036,0.405,20.293
E01005614,0.146,59.29,0.643,0.155,22.647
E01005615,0.202,47.221,1.958,0.304,41.414
E01005616,0.228,44.992,1.27,0.214,9.498
E01005617,0.099,27.885,0.454,0.103,20.872
E01005618,0.168,38.991,0.995,0.215,19.267
E01005619,0.171,43.258,0.938,0.188,25.6
E01005620,0.092,13.312,0.472,0.116,16.81
E01005621,0.148,30.328,0.981,0.167,23.699
E01005622,0.11,15.424,1.151,0.139,40.724
E01005623,0.088,7.965,0.3,0.067,28.394
E01005624,0.253,50.742,1.395,0.333,14.814
E01005625,0.089,11.49,0.844,0.085,27.841
E01005626,0.101,11.232,0.737,0.093,16.703
E01005627,0.088,15.528,0.441,0.079,20.187
E01005628,0.127,11.374,0.958,0.118,39.442
E01005629,0.131,9.782,1.068,0.138,29.762
E01005630,0.118,12.664,0.835,0.154,22.014
E01005631,0.371,29.067,2.545,0.37,19.939
E01005632,0.132,15.362,1.133,0.183,28.768
E01005633,0.23,33.793,1.508,0.258,11.87
E01005634,0.056,1.31,-0.219,0.054,22.585
E01005635,0.091,4.428,0.7,0.114,34.444
E01005636,0.093,2.872,0.858,0.085,19.084
E01005637,0.156,12.424,1.114,0.157,32.124
E01005638,0.255,42.549,1.715,0.272,41.191
E01005639,0.292,66.8,1.801,0.436,8.904
E01005640,0.233,50.25,1.47,0.288,12.325
E01005641,0.163,32.465,1.342,0.233,16.693
E01005642,0.069,13.837,0.287,0.081,17.982
E01005643,0.092,15.741,0.637,0.108,10.342
E01005644,0.081,17.203,0.43,0.071,19.614
E01005645,0.065,11.614,-0.016,0.055,9.671
E01005646,0.081,30.314,0.086,0.137,25.986
E01005647,0.098,13.379,0.123,0.109,33.648
E01005648,0.119,9.95,0.352,0.111,31.818
E01005649,0.087,9.094,0.597,0.11,25.607
E01005650,0.233,37.636,1.454,0.206,36.007
E01005651,0.174,52.345,0.903,0.177,23.996
E01005652,0.214,46.741,1.237,0.249,16.434
E01005653,0.325,67.482,1.671,0.45,30.95
E01005654,0.14,22.042,1.812,0.241,46.128
E01005655,0.24,57.239,2.157,0.348,45.455
E01005656,0.192,49.845,1.341,0.262,49.579
E01005657,0.256,39.658,1.832,0.317,42.293
E01005658,0.392,84.321,2.536,0.466,13.134
E01005659,0.211,36.072,1.794,0.275,21.193
E01005660,0.317,53.266,2.053,0.413,12.806
E01005661,0.238,42.287,1.098,0.279,9.822
E01005662,0.319,63.303,1.437,0.413,6.157
E01005663,0.228,35.343,1.5,0.274,19.464
E01005664,0.326,66.983,1.959,0.461,9.083
E01005665,0.386,77.913,2.042,0.455,9.162
E01005667,0.306,44.099,2.261,0.407,12.102
E01005670,0.204,30.819,1.612,0.272,23.089
E01005671,0.214,28.174,1.421,0.235,25.749
E01005672,0.109,21.124,1.284,0.155,33.223
E01005673,0.132,25.784,1.083,0.157,25.782
E01005674,0.198,23.979,1.713,0.213,21.644
E01005675,0.102,24.987,0.474,0.119,28.578
E01005676,0.092,8.665,0.179,0.054,7.909
E01005677,0.13,16.01,0.585,0.141,18.98
E01005678,0.237,39.862,1.599,0.283,14.285
E01005679,0.283,49.998,1.675,0.345,10.868
E01005680,0.386,53.85,2.263,0.437,30.754
E01005681,0.185,55.376,2.201,0.231,42.653
E01005682,0.514,42.63,2.962,0.515,16.11
E01005683,0.361,64.674,2.525,0.491,10.484
E01005686,0.162,21.924,0.954,0.178,30.453
E01005687,0.114,19.222,0.646,0.154,34.17
E01005688,0.144,19.782,0.767,0.181,13.195
E01005689,0.258,42.502,1.656,0.375,19.6
E01005690,0.163,12.871,1.046,0.137,24.025
E01005691,0.094,15.22,0.353,0.091,14.451
E01005692,0.307,39.165,2.035,0.319,19.9
E01005693,0.087,12.162,0.619,0.101,29.009
E01005694,0.086,12.044,-0.056,0.109,27.563
E01005695,0.047,2.472,-0.354,0.035,16.487
E01005696,0.119,20.024,0.722,0.147,19.442
E01005697,0.064,3.72,0.056,0.065,19.566
E01005698,0.283,51.391,1.936,0.367,12.505
E01005699,0.086,15.321,0.301,0.069,27.14
E01005700,0.121,17.492,0.914,0.149,21.056
E01005701,0.074,8.797,0.297,0.083,19.364
E01005702,0.177,24.627,1.034,0.225,16.546
E01005703,0.335,52.791,1.696,0.379,11.837
E01005704,0.18,34.757,0.701,0.243,29.42
E01005705,0.145,19.876,0.702,0.184,13.911
E01005706,0.308,49.371,1.61,0.328,15.639
E01005707,0.283,51.236,1.496,0.33,14.186
E01005708,0.204,32.558,1.456,0.267,28.619
E01005709,0.34,58.537,1.709,0.473,7.515
E01005710,0.186,19.403,0.922,0.186,8.045
E01005711,0.097,11.163,0.485,0.12,26.392
E01005712,0.144,24.901,0.704,0.174,34.291
E01005713,0.064,3.765,0.211,0.046,15.338
E01005714,0.214,34.556,1.192,0.239,16.046
E01005715,0.069,3.676,-0.1,0.062,14.979
E01005716,0.058,3.431,-0.445,0.038,6.474
E01005717,0.039,2.187,-0.282,0.028,5.972
E01005718,0.143,13.02,0.984,0.153,15.909
E01005719,0.173,19.366,1.495,0.203,21.227
E01005720,0.171,29.586,1.958,0.248,41.716
E01005721,0.202,27.394,1.689,0.203,45.821
E01005722,0.263,43.831,1.78,0.343,20.775
E01005723,0.266,37.853,2.147,0.343,20.306
E01005724,0.128,7.167,0.972,0.119,18.952
E01005725,0.29,63.812,1.733,0.382,13.765
E01005726,0.172,24.622,1.078,0.213,23.194
E01005727,0.144,20.5,1.067,0.207,35.393
E01005728,0.097,17.921,0.663,0.088,27.59
E01005729,0.417,56.567,2.717,0.481,28.65
E01005730,0.116,17.598,1.05,0.148,32.395
E01005731,0.24,44.496,1.393,0.337,14.38
E01005732,0.27,34.82,1.639,0.243,10.444
E01005733,0.268,46.36,1.707,0.357,17.556
E01005734,0.118,10.744,0.953,0.155,14.884
E01005735,0.074,4.179,-0.011,0.052,9.159
E01005736,0.075,9.267,0.312,0.069,10.648
E01005737,0.053,2.728,-0.608,0.039,10.292
E01005738,0.043,1.798,-0.165,0.038,15.335
E01005739,0.054,3.072,-0.141,0.041,7.932
E01005740,0.051,1.793,-0.216,0.05,16.461
E01005741,0.038,1.459,-0.482,0.027,15.223
E01005742,0.061,3.203,0.259,0.055,22.306
E01005743,0.1,16.888,0.366,0.084,14.24
E01005744,0.183,39.172,1.398,0.229,18.207
E01005745,0.102,16.904,0.406,0.126,13.983
E01005746,0.295,44.256,1.985,0.307,16.177
E01005747,0.052,6.726,-0.298,0.068,13.98
E01005748,0.068,4.448,-0.326,0.037,5.4
E01005749,0.093,9.015,0.096,0.09,16.362
E01005750,0.082,19.282,0.144,0.103,22.652
E01005751,0.111,24.697,0.702,0.154,33.482
E01005752,0.165,32.315,1.092,0.22,8.076
E01005753,0.304,73.35,2.12,0.388,15.3
E01005754,0.419,85.0,2.394,0.469,14.382
E01005755,0.27,74.39,1.734,0.39,12.286
E01005756,0.43,93.851,2.656,0.522,12.824
E01005757,0.13,27.878,0.655,0.167,45.743
E01005758,0.349,78.036,2.569,0.37,19.6
E01005759,0.103,23.172,0.247,0.14,25.127
E01005760,0.132,17.456,1.237,0.201,47.796
E01005761,0.156,49.352,0.912,0.196,26.461
E01005762,0.323,84.562,1.764,0.408,5.82
E01005763,0.196,41.086,1.664,0.251,14.064
E01005764,0.117,26.973,1.097,0.188,44.982
E01005765,0.076,10.561,0.404,0.067,22.508
E01005766,0.244,29.09,1.871,0.255,46.632
E01005767,0.085,3.342,0.099,0.069,3.206
E01005768,0.06,2.755,-0.594,0.067,11.539
E01005769,0.068,4.189,0.521,0.091,31.06
E01005770,0.074,3.577,0.083,0.083,12.418
E01005771,0.088,4.092,0.149,0.084,17.082
E01005772,0.067,4.762,-0.177,0.079,11.465
E01005773,0.083,1.447,0.096,0.089,32.255
E01005774,0.229,48.004,1.665,0.277,11.621
E01005775,0.061,1.734,-0.062,0.076,14.163
E01005776,0.051,2.887,-0.486,0.061,8.542
E01005777,0.134,13.106,0.148,0.15,12.645
E01005778,0.075,13.486,0.309,0.087,24.92
E01005779,0.09,17.983,0.499,0.09,27.484
E01005780,0.069,14.335,0.324,0.073,33.144
E01005781,0.282,40.491,1.824,0.284,25.045
E01005782,0.077,7.864,0.217,0.074,7.614
E01005783,0.115,6.351,0.202,0.108,7.034
E01005784,0.051,4.309,-0.37,0.059,10.793
E01005785,0.065,2.391,-0.149,0.056,24.434
E01005786,0.045,2.119,-0.4,0.045,13.161
E01005787,0.037,1.144,-0.666,0.026,5.303
E01005788,0.058,2.381,-0.376,0.047,10.627
E01005789,0.062,0.783,-0.481,0.048,8.28
E01005790,0.124,9.662,0.713,0.128,6.705
E01005791,0.088,2.504,0.237,0.103,15.058
E01005792,0.042,0.899,-0.72,0.021,7.432
E01005793,0.064,3.839,-0.341,0.07,13.953
E01005794,0.045,1.266,-0.607,0.037,6.577
E01005795,0.041,2.051,-0.448,0.035,5.803
E01005796,0.043,1.887,-0.471,0.046,5.715
E01005797,0.128,10.725,1.281,0.186,31.815
E01005798,0.165,5.788,0.815,0.161,26.512
E01005799,0.258,63.679,1.464,0.388,9.259
E01005800,0.061,5.015,0.076,0.098,13.467
E01005801,0.111,12.826,0.381,0.098,20.703
E01005802,0.05,4.015,-0.145,0.042,13.065
E01005803,0.044,1.924,-0.334,0.036,9.902
E01005804,0.126,13.601,0.539,0.156,30.972
E01005805,0.042,3.157,-0.286,0.032,14.359
E01005806,0.035,7.658,-0.268,0.034,4.22
E01005807,0.053,3.997,-0.34,0.032,5.86
E01005808,0.052,1.436,-0.703,0.03,8.465
E01005809,0.054,4.696,-0.467,0.05,6.22
E01005810,0.081,1.116,0.08,0.062,15.005
E01005811,0.045,2.521,-0.576,0.047,5.796
E01005812,0.036,0.78,-0.788,0.025,5.081
E01005813,0.067,2.036,-0.371,0.046,3.87
E01005814,0.068,2.314,-0.153,0.044,5.494
E01005815,0.049,6.539,-0.457,0.042,7.726
