lsoa,employ_score,edu_score,health_score,income_score,enviroment_score
E01028021,0.055,9.712,-0.261,0.069,20.978
E01028022,0.122,25.324,0.187,0.138,28.06
E01028023,0.064,4.863,-0.365,0.067,36.545
E01028024,0.104,18.299,0.465,0.107,7.121
E01028025,0.167,45.8,1.059,0.212,24.323
E01028026,0.194,47.927,0.737,0.253,10.466
E01028027,0.17,46.626,0.552,0.181,17.132
E01028028,0.149,41.35,0.382,0.173,9.377
E01028029,0.208,47.978,1.169,0.22,14.455
E01028030,0.167,52.761,0.838,0.182,17.793
E01028031,0.139,21.758,0.455,0.153,12.631
E01028032,0.059,11.285,-0.576,0.076,11.695
E01028033,0.213,20.604,0.505,0.103,43.685
E01028034,0.104,16.61,-0.214,0.098,14.714
E01028035,0.076,12.05,-0.726,0.081,25.257
E01028036,0.072,22.869,-0.18,0.061,22.941
E01028037,0.086,11.824,-0.082,0.089,35.908
E01028038,0.149,35.697,0.401,0.141,24.636
E01028039,0.09,12.281,0.021,0.082,25.742
E01028040,0.123,36.592,0.56,0.128,40.595
E01028041,0.114,21.855,0.44,0.129,46.779
E01028042,0.126,22.201,0.436,0.113,16.568
E01028043,0.108,28.426,0.21,0.084,11.811
E01028044,0.247,62.711,1.401,0.283,5.235
E01028045,0.164,32.906,0.729,0.171,21.959
E01028046,0.114,21.909,0.15,0.096,21.881
E01028047,0.061,7.438,0.422,0.041,3.256
E01028048,0.091,17.298,0.278,0.086,3.084
E01028049,0.133,22.503,0.579,0.147,8.859
E01028050,0.085,21.081,0.329,0.075,21.542
E01028051,0.117,21.893,0.34,0.106,2.661
E01028052,0.079,12.334,-0.147,0.057,4.526
E01028053,0.269,37.39,1.264,0.242,5.896
E01028054,0.057,10.176,0.029,0.045,9.581
E01028055,0.309,58.969,1.821,0.314,21.67
E01028056,0.17,51.808,0.819,0.199,17.372
E01028057,0.21,50.664,1.158,0.237,57.964
E01028058,0.07,11.297,0.073,0.065,3.373
E01028059,0.061,5.43,-0.202,0.039,4.85
E01028060,0.106,7.435,-0.357,0.057,9.289
E01028061,0.057,8.849,-0.2,0.067,4.307
E01028062,0.172,39.248,1.025,0.176,28.753
E01028063,0.058,7.128,-0.382,0.029,7.452
E01028064,0.177,54.23,0.772,0.184,15.624
E01028065,0.318,90.958,1.83,0.409,26.812
E01028066,0.28,90.282,1.751,0.373,27.922
E01028067,0.21,69.687,1.128,0.25,9.873
E01028068,0.256,67.531,1.589,0.246,39.533
E01028069,0.065,10.393,-0.818,0.067,17.356
E01028070,0.059,2.671,-0.8,0.056,11.012
E01028073,0.105,8.31,0.373,0.164,40.66
E01028074,0.079,24.463,-0.006,0.143,27.59
E01028075,0.087,19.888,-0.136,0.112,25.232
E01028076,0.129,6.622,-0.26,0.141,10.361
E01028077,0.149,29.314,-0.114,0.2,23.101
E01028078,0.114,25.803,-0.295,0.193,19.276
E01028079,0.051,7.338,-0.939,0.072,34.925
E01028080,0.086,15.556,-0.096,0.113,35.189
E01028081,0.127,21.849,-0.042,0.119,38.497
E01028082,0.059,19.913,-0.541,0.06,27.591
